Players	Avg eff	Num of games	Link
antitelharsic, aquarelle, HelanaAshryvr, Lanvin, melwen, squirrel1988	1.79	1	https://hanab.live/history/antitelharsic/aquarelle/HelanaAshryvr/Lanvin/melwen/squirrel1988
arv, MangoPie, newduke, Onen, ReaverSe	1.79	1	https://hanab.live/history/arv/MangoPie/newduke/Onen/ReaverSe
arv, asaelr, TheDaniMan	1.79	1	https://hanab.live/history/arv/asaelr/TheDaniMan
asaelr, DaBeast, hakha3, Lanvin	1.79	1	https://hanab.live/history/asaelr/DaBeast/hakha3/Lanvin
asaelr, Floriman, Libster	1.79	1	https://hanab.live/history/asaelr/Floriman/Libster
asaelr, macanek, swineherd	1.79	1	https://hanab.live/history/asaelr/macanek/swineherd
asaelr, sephiroth, Syrah, VerySloppyTwo	1.79	1	https://hanab.live/history/asaelr/sephiroth/Syrah/VerySloppyTwo
asaelr, sephiroth, Zakisan	1.79	1	https://hanab.live/history/asaelr/sephiroth/Zakisan
avanderwalde, JerryYang, kevincaseytdk1, pianoblook, piper	1.79	1	https://hanab.live/history/avanderwalde/JerryYang/kevincaseytdk1/pianoblook/piper
avanderwalde, doctorabi, Kyle, melwen, TimeHoodie	1.79	1	https://hanab.live/history/avanderwalde/doctorabi/Kyle/melwen/TimeHoodie
bjnh, dobi, HelanaAshryvr, Lanvin, MangoPie	1.79	1	https://hanab.live/history/bjnh/dobi/HelanaAshryvr/Lanvin/MangoPie
