variant	count
Rainbow-Ones & Muddy Rainbow (5 Suits)	36
Pink-Ones & White (6 Suits)	35
Null-Fives & Brown (6 Suits)	35
Clue Starved & Muddy Rainbow (6 Suits)	35
Pink-Fives & White (6 Suits)	35
Ambiguous & Gray (5 Suits)	35
Light Pink & Cocoa Rainbow (6 Suits)	35
Ambiguous & Dark Brown (5 Suits)	34
Omni-Fives (4 Suits)	34
Pink-Fives & Dark Brown (6 Suits)	34
White-Ones & Gray Pink (6 Suits)	34
Dual-Color & Null (6 Suits)	34
Muddy Rainbow & Dark Rainbow (5 Suits)	33
White-Ones & Dark Pink (6 Suits)	33
Omni & Dark Pink (5 Suits)	33
Deceptive-Fives & Dark Pink (6 Suits)	33
Dual-Color & Muddy Rainbow (6 Suits)	33
Null-Fives & White (5 Suits)	33
Rainbow-Ones & Brown (5 Suits)	33
Rainbow-Fives & Pink (6 Suits)	33
Dark Pink & Dark Prism (6 Suits)	33
Null & Prism (5 Suits)	33
White-Ones & White (4 Suits)	32
Throw It in a Hole & Rainbow (5 Suits)	32
White-Fives & White (6 Suits)	32
Pink-Fives & Rainbow (3 Suits)	32
Null-Ones & Null (4 Suits)	32
Ambiguous & Null (5 Suits)	31
Null & Muddy Rainbow (5 Suits)	31
White-Ones & Null (4 Suits)	31
Null-Ones & Dark Rainbow (5 Suits)	31
Light Pink & Dark Brown (5 Suits)	31
Brown & Light Pink (3 Suits)	31
White & Dark Null (5 Suits)	31
Ambiguous & Brown (5 Suits)	31
White-Fives & Rainbow (4 Suits)	31
Brown-Ones & Dark Pink (6 Suits)	31
Pink-Ones & Pink (5 Suits)	31
Dark Rainbow & Gray Pink (6 Suits)	30
Number Blind (3 Suits)	30
Null-Ones & Pink (5 Suits)	30
Deceptive-Fives & Dark Omni (6 Suits)	30
Number Mute (4 Suits)	30
Clue Starved & Omni (6 Suits)	30
Muddy Rainbow & Light Pink (3 Suits)	30
Ambiguous & Dark Pink (5 Suits)	29
Null & Prism (4 Suits)	29
White-Fives & Prism (5 Suits)	29
Rainbow-Ones & Prism (4 Suits)	29
Rainbow-Fives & White (5 Suits)	29
Omni-Fives & Dark Omni (6 Suits)	29
Null & Cocoa Rainbow (6 Suits)	29
Brown-Ones & Muddy Rainbow (5 Suits)	29
Brown & Light Pink (4 Suits)	29
Muddy-Rainbow-Fives & Gray Pink (6 Suits)	29
Throw It in a Hole & Pink (6 Suits)	29
Color Mute (3 Suits)	29
Pink-Fives & Brown (5 Suits)	29
Brown-Ones (3 Suits)	29
Rainbow-Fives & Dark Prism (6 Suits)	29
Rainbow-Fives & Brown (6 Suits)	28
Omni-Fives & Pink (5 Suits)	28
Pink-Fives & Dark Null (5 Suits)	28
Deceptive-Fives & Rainbow (5 Suits)	28
Deceptive-Fives (4 Suits)	28
Alternating Clues & White (5 Suits)	28
Muddy-Rainbow-Ones & Dark Omni (5 Suits)	28
Light-Pink-Fives (6 Suits)	28
Muddy-Rainbow-Ones & White (5 Suits)	28
Null & Dark Pink (6 Suits)	28
White-Ones & Pink (4 Suits)	28
Light Pink & Dark Brown (6 Suits)	28
Clue Starved & Omni (5 Suits)	28
